-73.97891732,40.75882475,Fri Dec 04 2015,22:31:41,227524663,New York City,en,672906146164768768,Maybe one of these years I'll actually go ice skating at Rockefeller ⛸ @ Rockefeller Center https://t.co/b3oiQiDr2m
-73.9906703,40.7244917,Fri Dec 04 2015,22:31:43,1039780135,Brooklyn,en,672906152678662144,When you create something out of nothing #godz
-73.9024734,40.6799316,Fri Dec 04 2015,22:31:43,47626248,Brooklyn, NY,en,672906152850640896,Treating my African Queen to a SPA night of cleaning making her shine like a diamond… https://t.co/zAtHqtjJ7n
-73.97797407,40.72531263,Fri Dec 04 2015,22:31:49,48512106,145 Avenue C, New York, NY,en,672906178519633920,#HappyTimes es aqui! Enjoy our daily selection of fresh oysters! (IG: Gracias… https://t.co/4wJgHzu4Vi
-73.99263663,40.74121052,Fri Dec 04 2015,22:32:02,188339502,NYC,en,672906231372234752,I'm at @Flywheel Sports - Flatiron in New York  NY https://t.co/LkOzESfCLy
-73.9625093,40.80383748,Fri Dec 04 2015,22:32:03,40237433,New York, New York,en,672906238066233344,#ECTribute @ Cathedral of St. John the Divine  NYC https://t.co/VQAbMa23Eg
-73.973046,40.763903,Fri Dec 04 2015,22:32:07,26785898,None,en,672906251911733248,@Taurian_B lol just come old nigga
-73.98557959,40.75737183,Fri Dec 04 2015,22:32:07,359651919,Boston, MA,en,672906254658969600,Best photobomb ever. @ Toys R Us Times Square https://t.co/kKdHO0SLqp
-74.0059731,40.7143528,Fri Dec 04 2015,22:32:12,23214781,New York, NY,en,672906273151553536,Interested in a #Finance #job near #NewYork  NY? This could be a great fit: https://t.co/AqS9zZp5YT #Hiring #CareerArc
-73.9843674,40.7366905,Fri Dec 04 2015,22:32:15,19500802,Bronx NY/Tampa FL/Charlotte NC,en,672906286963531777,Checking out the great @danette8 hosting the showcase... #ItsPhantastic #Kineticism #Phase2 @ The… https://t.co/9kF8hMHG6M
-73.84554863,40.75460438,Fri Dec 04 2015,22:32:30,42680864,New York, USA,en,672906348099715073,I'm at MTA Subway - Mets/Willets Point (7) - @nyctsubwayscoop in Flushing  NY https://t.co/CJAlvsPRlI
-72.4903336,40.8383484,Fri Dec 04 2015,22:32:35,2784901085,Long Island,en,672906371998838785,#الحب #liebe #amor #amour #art #爱 #愛 #ความรัก #любовь #love #miłość #sleever #liefde #amore… https://t.co/Tf3o19sQNL
-73.94390103,40.68327966,Fri Dec 04 2015,22:32:36,1110585625,[QUEEN]s. ,en,672906377027809280,You know why I'm here. (at @PeachesHothouse in Brooklyn  NY) https://t.co/AJF3csbK3b
-74.00158181,40.72442522,Fri Dec 04 2015,22:32:40,125473570,New York City,en,672906390873182208,#shoutoutforshoutout #shoutout #inspiration #fall #autumn #streetfashion #streetstyle #md #man… https://t.co/vMCLBjsIdi
-73.98756,40.58527,Fri Dec 04 2015,22:32:42,42640432,New York City & New Jersey,en,672906401337884672,Accident  two lanes blocked in #Bklyn on Belt Pkwy WB at Cropsey Ave  stop and go traffic back to Flatbush Ave  delay of 10 mins #traffic
-73.98708344,40.72036369,Fri Dec 04 2015,22:32:43,291915368,None,en,672906404127252480,I'm at Beauty &amp; Essex - @beautyandessex in New York  NY https://t.co/woLqE3wfgo
