camera,lat,log
Woodhaven_Blvd_@_Furmanville_Ave,40.720287,-73.865571
Woodhaven_Blvd_@_Jamaica_Ave,40.694,-73.852
Woodhaven_Blvd_@_Jamaica_Ave,40.693704,-73.852136
Woodhaven_Blvd_@_Myrtle_Ave,40.702613,-73.855269
Woodhaven_Blvd_@_Union_Tpke,40.70561,-73.8582
Worth_Street_@_Bowery,40.71275225,-73.99828434
Worth_Street_@_Lafayette_Street,40.71480157,-74.00279045
Worth_Street_@_W._Broadway,40.71691588,-74.00755405
WSE_@_Arden_Ave,40.560632,-74.199602
WSE03_SB_at_Bloomingdale_Rd-Ex3,40.54857,-74.220693
WSE04_SB_at_Rossville_Ave_-_Ex4,40.554765,-74.213161
WSE06_NB_at_Muldoon_Ave_-_Ex5,40.566177,-74.193635
