camera,lat,log
Brooklyn_Queens_Expy_@_Atlantic_Ave,40.691605,-73.999207
Brooklyn_Queens_Expy_@_Broadway_St,40.708182,-73.957279
Brooklyn_Queens_Expy_@_Congress_St,40.689685,-73.998735
Brooklyn_Queens_Expy_@_Furman_St_LL,40.695705,-73.998327
Brooklyn_Queens_Expy_@_Furman_St_UL,40.698308,-73.997083
Brooklyn_Queens_Expy_@_Hamilton_Ave,40.680264,-74.003627
Brooklyn_Queens_Expy_@_Kent_Ave,40.69925119,-73.96137714
Brooklyn_Queens_Expy_@_Lee_Ave,40.704977,-73.959124
Brooklyn_Queens_Expy_@_Manhattan_Ave,40.718672,-73.946786
Brooklyn_Queens_Expy_@_Middagh_St_LL,40.700943,-73.994701
Brooklyn_Queens_Expy_@_Middagh_St_UL,40.701187,-73.9941
Brooklyn_Queens_Expy_@_Morgan_Ave,40.723242,-73.939254
Brooklyn_Queens_Expy_@_Sackett_St,40.684901,-74.000988
Brooklyn_Queens_Expy_@_Sands_St,40.699934,-73.984766
Brooklyn_Queens_Expy_@_South_5th_St,40.708849,-73.956785
Brooklyn_Queens_Expy_@_State_St_UL,40.692369,-73.999486
Brooklyn_Queens_Expy_@_Union_St,40.684397,-74.001245
Brooklyn_Queens_Expy_@_Wythe_Ave,40.698129,-73.962429
Brooklyn-Battery_Tunnel_@_Brooklyn_Side,40.68041021,-74.00485039
Bruckner_Blvd_@_Lincoln_Ave,40.807681,-73.929512
Bruckner_Expy_@_Bronx_River_Pkwy,40.8238123,-73.87172699
Cadman_Plz_E_@_Prospect_St,40.69977177,-73.98944378
Canal_Street_@_Allen_Street,40.71441123,-73.99223328
Canal_Street_@_Chrystie_Street,40.71519191,-73.99459362
Central_Park_S_@_Columbus_Cr,40.76773669,-73.98146152
Church_Street_@_Vesey,40.71122335,-74.00978565
Clearview_@_Northern_Blvd,40.75772516,-73.77679825
Clearview_Expy_@_26th_Ave,40.77543933,-73.78417969
Clearview_Expy_@_35_St,40.76653408,-73.78096104
Columbus_Ave_@_67_St,40.77352188,-73.98081779
Columbus_St_@_65_St,40.77215688,-73.98171902
CPW_@_96_St,40.79080945,-73.96459579
Cross_Bay_Blvd_@__Wildlife_Refuge,40.61998,-73.8257
Cross_Bay_Blvd_@_156_Ave,40.66419,-73.8412
Cross_Bay_Blvd_@_156_St,40.664189,-73.841231
Cross_Bay_Blvd_@_20_Rd,40.598884,-73.820711
Cross_Bay_Blvd_@_20_Rd,40.59821561,-73.820014
Cross_Bay_Blvd_@_N_Channel_Dr,40.58876,-73.8193
Cross_Bay_Blvd_@_North_Channel_Bridge,40.588759,-73.819342
Cross_Bay_Blvd_@_Rockaway_Blvd,40.68638,-73.8446
Cross_Bronx_Expy_@_E_of_Bronx_River_Pkwy,40.83576204,-73.8731432
Cross_Bronx_Expy_@_Randall_Avenue,40.8240721,-73.82426262
Cross_Island_Expy_@_14_Ave,40.78736529,-73.81597996
Cross_Island_Pkwy_@_Bayside_Marina,40.779278,-73.768564
Cross_Island_Pkwy_@_Throgsneck,40.788185,-73.790539
Cross_Island_Pkwy_@_Union_Tpke,40.74016886,-73.72650146
CrossBay_@_North_Bound,40.587526,-73.81731
CrossBay_@_South_Bound,40.597758,-73.82082
CVE02_NB_at_64th_Ave,40.741934,-73.770174
CVE03_SB_at_56th_Ave,40.748147,-73.773658
CVE04_SB_at_48th_Ave,40.752691,-73.775804
Dyer_@_42_Street,40.75814776,-73.99390697
E_57_St_@_QBB,40.75844032,-73.96493912
E_63_St_@_QBB,40.76191849,-73.96137714
East_Houston_St_@_Ave_B,40.721437,-73.983838
East_Houston_St_@_Ave_D,40.719876,-73.978731
FDR_@_48_St,40.751693,-73.965239
FDR_@_E_127_St,40.803143,-73.930444
FDR_@_E_53_St,40.754739,-73.96219
FDR_@_E_6_St,40.721494,-73.974554
FDR_@_Grand_St,40.713209,-73.977491
FDR_@_Jackson_St,40.710874,-73.980571
FDR_Dr_@_111_ST,40.791666,-73.935403
FDR_Dr_@_135_Street,40.81095093,-73.93438339
FDR_Dr_@_155_Street,40.82738446,-73.93421173
FDR_Dr_@_23_St,40.73480351,-73.9746809
FDR_Dr_@_38_St,40.744441,-73.971242
FDR_Dr_@_73_St,40.766599,-73.950845
FDR_Dr_@_79_St,40.770256,-73.947626
FDR_Dr_@_90_St,40.777422,-73.942713
FDR_Dr_@_96_Street,40.78210123,-73.94369602
FDR_Dr_@_Brooklyn_Bridge_Exit_NB,40.7078076,-73.99867058
FDR_Dr_@_Brooklyn_Bridge_Exit_SB,40.70725456,-74.00004387
FDR_Dr_@_Catherine_Street,40.70826305,-73.99725437
FDR_Dr_@_Old_Slip,40.7031554,-74.00703907
Flatbush_Ave_@_Willoughby,40.69121433,-73.982234
Flatbush_Ave_and_4_Ave,40.68389245,-73.97794247
Flatbush_Ave_and_Atlantic_Ave,40.68320903,-73.97699833
Flatbush_Ave@_6_Ave,40.67930366,-73.97455215
Fordham_Rd_@_Hughes_Ave,40.85754529,-73.88408661
Fordham_Rd_and_Grand_Concourse,40.86179722,-73.89670372
Ft_Washington_@_179_St,40.849349,-73.938940
Ft_Washington_@_178_St,40.848657,-73.939207
GCP_@_166_St,40.716879,-73.800069
GCP_@_214_St,40.72693354,-73.75370979
GCP_@_31_ST,40.77010932,-73.91713142
GCP_@_Astoria_Blvd_@_49_St,40.748744,-73.896262
